Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
ASTE,"Astec Inds Inc",42.32,-0.1,-0.24%,42.37,42.9,42.16,73000,2022-08-05
ATEC,"Alphatec Holdings",8.18,-0.03,-0.37%,8.03,8.68,7.76,814300,2022-08-05
ATEX,"Anterix Inc.",45.54,0.73,+1.63%,44.37,46.47,44.17,117600,2022-08-05
ATRA,"Atara Biotherap",3.44,0.06,+1.78%,3.3,3.45,3.17,2228100,2022-08-05
ATRC,"Atricure Inc",50.94,2.04,+4.17%,48,51.06,47.52,282600,2022-08-05
ATSG,"Air Transport",31.4,-1.6,-4.85%,31.89,32.89,30.6,470300,2022-08-05
ATVI,"Activision Blizzard",80.49,-0.17,-0.21%,80.18,80.65,80.03,2383600,2022-08-05
AUB,"Atlantic Union Bancshares Corp",33.32,0.11,+0.33%,33.21,33.62,32.92,340600,2022-08-05
AUPH,"Aurinia Pharm Ord",8.37,-0.15,-1.76%,8.31,8.62,8.17,3756300,2022-08-05
AUR,"Aurora Innovation Inc",2.7,0.06,+2.27%,2.64,2.77,2.59,1233000,2022-08-05
AVAC,"Avalon Acquisition Inc Cl A",10.02,-0.01,-0.10%,10.02,10.02,10.02,11700,2022-08-05
AVAH,"Aveanna Healthcare Holdings Inc",2.23,0.08,+3.72%,2.13,2.24,2.09,140700,2022-08-05
AVAV,"Aerovironment Inc",90.17,-0.42,-0.46%,90.47,90.47,88.62,89300,2022-08-05
AVDX,"Avidxchange Holdings Inc",7.98,-0.06,-0.75%,7.81,8.05,7.63,1554600,2022-08-05
AVGO,"Broadcom Ltd",551.44,-1.36,-0.25%,544.9,552,543.28,1435600,2022-08-05
AVID,"Avid Tech Inc",26.65,0.41,+1.56%,26.03,26.8,25.59,320000,2022-08-05
AVO,"Mission Produce Inc",15.07,-0.08,-0.53%,15.15,15.15,14.93,73000,2022-08-05
AVPT,"Avepoint Inc Cl A",5.37,-0.01,-0.19%,5.27,5.41,5.22,350000,2022-08-05
AVT,"Avnet Inc",46.6,-0.79,-1.67%,46.88,47.43,46.4,1068100,2022-08-05
AVXL,"Anavex Lf SC",11.66,0.83,+7.66%,10.61,11.66,10.4,928100,2022-08-05
AXNX,"Axonics Inc",71,-1.27,-1.76%,71.65,72.45,69.96,626600,2022-08-05
AXON,"Axon Enterprise Inc",116.29,-0.31,-0.27%,114.98,117.47,114.1,258300,2022-08-05
AXSM,"Axsome Thera",43.44,3.43,+8.57%,39.45,44.06,38.12,1014400,2022-08-05
AY,"Atlantica Yield Plc",34.84,-0.24,-0.68%,35.01,35.42,34.3,480700,2022-08-05
AZN,"Astrazeneca Plc ADR",66.03,-0.26,-0.39%,65.87,66.29,65.72,6335900,2022-08-05
AZPN,"Aspen Technology",213.12,0.37,+0.17%,209.25,213.66,204.12,125500,2022-08-05
AZTA,"Azenta Inc",70.02,0.2,+0.29%,68.51,70.07,68.26,273000,2022-08-05
