Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
MDGL,"Madrigal Pharmaceuticals Inc",322.14,-14.09,-4.19%,334.37,334.37,319.02,313700,2025-02-24
MDLZ,"Mondelez Intl Inc",65.36,0.69,+1.07%,64.51,65.77,64.07,16269899,2025-02-24
ME,"23Andme Holding Co.",2.31,-0.11,-4.55%,2.5,2.52,2.31,442100,2025-02-24
MEDP,"Medpace Holdings Inc",344.35,4.13,+1.21%,341.39,347.09,340.22,246800,2025-02-24
MELI,"Mercadolibre Inc",2223.35,-36.65,-1.62%,2280.18,2318.75,2206.11,513900,2025-02-24
MEOH,"Methanex Corp",44.18,-0.07,-0.16%,44.56,45.01,43.74,243300,2025-02-24
META,"Meta Platforms Inc",668.13,-15.42,-2.26%,686.28,687.27,662.45,15676899,2025-02-24
MGEE,"Mge Energy Inc",93,0.81,+0.88%,92.54,94.99,91.73,158700,2025-02-24
MGIC,"Magic Software Enterprises",12.79,0.23,+1.83%,12.95,12.95,12.58,50400,2025-02-24
MGNI,"Magnite Inc",17.69,0.01,+0.06%,17.73,17.94,17.26,1944000,2025-02-24
MGPI,"MGP Ingredients Inc",32.83,0.64,+1.99%,32.15,33.53,31.76,619700,2025-02-24
MGRC,"Mcgrath Rentcorp",125.66,-1.52,-1.20%,128.22,128.22,124.82,156300,2025-02-24
MIDD,"Middleby Corp",168.15,1.08,+0.65%,167.12,169.56,165.45,1064600,2025-02-24
MIRM,"Mirum Pharmaceuticals Inc",50.95,-1.5,-2.86%,52.23,53.04,50.29,594300,2025-02-24
MKSI,"Mks Instruments Inc",99.9,-3.19,-3.09%,103.5,103.5,99.81,1083100,2025-02-24
MKTX,"Marketaxess Holdings",194.26,0.3,+0.15%,194.14,198.55,192.27,797200,2025-02-24
MLCO,"Melco Resorts & Entertainment ADR",5.75,-0.26,-4.33%,6.01,6.02,5.73,6167100,2025-02-24
MLKN,"Millerknoll Inc",21.94,-0.3,-1.35%,22.4,22.59,21.89,465100,2025-02-24
MLTX,"Moonlake Immunotherapeutics",40.96,-1.37,-3.24%,42.25,42.92,40.96,337500,2025-02-24
MMSI,"Merit Medical Sys",103.51,0.35,+0.34%,103.35,105.38,103.04,740200,2025-02-24
MMYT,"Makemytrip Ltd",100.11,2.24,+2.29%,99.15,103.6,99.15,829600,2025-02-24
MNDY,"Monday.com Ltd",298.1,-2.55,-0.85%,300.45,301.67,288,846100,2025-02-24
MNKD,"Mannkind Corp",5.7,-0.06,-1.04%,5.8,5.84,5.66,1391400,2025-02-24
MNRO,"Monro Muffler Brak",18.48,-0.23,-1.23%,18.75,18.75,18.26,848000,2025-02-24
MNST,"Monster Beverage Corp",52.56,-0.44,-0.83%,52.72,52.94,52.35,7946300,2025-02-24
MNTK,"Montauk Renewables Inc",4.16,-0.05,-1.19%,4.28,4.32,4.14,93500,2025-02-24
MOMO,"Hello Group Inc ADR",7.82,-0.33,-4.05%,8.1,8.11,7.63,2258400,2025-02-24
MORN,"Morningstar Inc",321.98,-0.6,-0.19%,322.77,324.94,321.64,160500,2025-02-24
MPWR,"Monolithic Power Sys",652.74,-8.34,-1.26%,660.69,665,637.02,1327400,2025-02-24
MQ,"Marqeta Inc Cl A",3.71,0.02,+0.54%,3.71,3.71,3.6,4331800,2025-02-24
MRCY,"Mercury Sys Inc",42.39,-0.12,-0.28%,42.92,43.04,41.8,355000,2025-02-24
MRNA,"Moderna Inc",33.9,-1.63,-4.59%,33.88,34.56,33.28,8887399,2025-02-24
MRTN,"Marten Transport L",14.47,-0.4,-2.69%,14.88,14.88,14.42,729500,2025-02-24
MRUS,"Merus N.V. CS",46.75,-0.62,-1.31%,47.11,47.97,46.35,684500,2025-02-24
MRVI,"Maravai Lifesciences Holdings Inc Cl A",4.01,-0.1,-2.43%,4.19,4.22,3.91,3331000,2025-02-24
MRVL,"Marvell Technology Inc",97.91,-5.9,-5.68%,104.22,104.67,97.41,17235000,2025-02-24
MRX,"Marex Group Plc",36.24,-0.79,-2.13%,37.29,38.35,35.26,517700,2025-02-24
MSEX,"Middlesex Water Company",51.25,0.29,+0.57%,51.04,51.78,50.64,112200,2025-02-24
MSFT,"Microsoft Corp",404,-4.21,-1.03%,408.51,409.37,399.32,26443600,2025-02-24
MSTR,"Strategy Inc",282.76,-16.93,-5.65%,304,304.04,276.39,17974900,2025-02-24
MTCH,"Match Group Inc",32.85,0.08,+0.24%,32.75,32.94,32.1,4580100,2025-02-24
MTSI,"Macom Technology S",119.27,-1.38,-1.14%,121.57,122.07,117.82,524200,2025-02-24
