Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
WBA,"Walgreens Boots Alliance",30.31,-0.36,-1.17%,30.79,30.01,6351600,2023-08-03
WBD,"Discovery Inc Series A",12.89,0.34,+2.71%,13.01,12.12,34187500,2023-08-03
WELL,"Welltower Inc",83.79,0.22,+0.26%,83.94,81.44,2183900,2023-08-03
WHR,"Whirlpool Corp",141.56,-3.98,-2.73%,145.07,141.29,557800,2023-08-03
WM,"Waste Management",160.94,-2.48,-1.52%,163.54,160.79,1412400,2023-08-03
WMB,"Williams Companies",34.44,0.76,+2.26%,34.84,33.97,8534600,2023-08-03
WMT,"Walmart Inc",159.26,0.04,+0.03%,159.5,158.51,4401300,2023-08-03
WRB,"W.R. Berkley Corp",62.34,-0.31,-0.49%,62.87,61.93,988800,2023-08-03
WRK,"Westrock Company",34.55,2.01,+6.18%,35.63,33.1,7024900,2023-08-03
WTW,"Willis Towers Watson Public Ltd",213.79,0.63,+0.30%,216.14,211.1,615300,2023-08-03
WY,"Weyerhaeuser Company",33.11,-0.09,-0.27%,33.16,32.46,4009400,2023-08-03
XYL,"Xylem Inc",108.4,-3.68,-3.28%,111.78,108.13,1932700,2023-08-03
YUM,"Yum! Brands",135.62,0.62,+0.46%,136.26,133.47,2392200,2023-08-03
ZBH,"Zimmer Biomet Holdings",125.79,-2.59,-2.02%,127.65,125.58,2094300,2023-08-03
ZBRA,"Zebra Technologies",249.55,8.4,+3.48%,252.28,231.98,1171000,2023-08-03
ZTS,"Zoetis Inc Cl A",180.88,-1.12,-0.62%,183.26,179.76,1688000,2023-08-03
"Downloaded from Barchart.com as of 08-04-2023 05:18am CDT"
