Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
GEN,"Gen Digital Inc",20.41,0.21,+1.04%,20.23,20.56,20.08,3491500,2023-08-28
GERN,"Geron Corp",2.44,-0.03,-1.21%,2.47,2.52,2.42,3062300,2023-08-28
GFS,"Globalfoundries Inc",52.74,0.22,+0.42%,53.21,53.4,52.31,841700,2023-08-28
GGR,"Gogoro Inc",3.04,0.04,+1.33%,3.05,3.12,3.03,173600,2023-08-28
GH,"Guardant Health Inc",38.22,-0.07,-0.18%,38.83,39.15,38.15,767900,2023-08-28
GHRS,"Gh Research Plc",10.83,0.79,+7.87%,10.05,10.99,9.44,12900,2023-08-28
GIII,"G-III Apparel Gp",18.85,0.15,+0.80%,18.91,19.3,18.72,186400,2023-08-28
GILD,"Gilead Sciences Inc",77.04,0.18,+0.23%,77.29,77.49,76.63,2783400,2023-08-28
GLBE,"Global-E Online Ltd",39.71,0.71,+1.82%,39.53,39.99,38.74,868500,2023-08-28
GLNG,"Golar Lng Ltd",21.69,0.18,+0.84%,21.63,22.02,21.52,465600,2023-08-28
GLPI,"Gaming & Leisure",46.05,0.22,+0.48%,45.94,46.36,45.83,1475700,2023-08-28
GLUE,"Monte Rosa Therapeutics Inc",6.08,0.07,+1.16%,6.03,6.21,5.99,101000,2023-08-28
GMAB,"Genmab A/S ADR",38.27,0.84,+2.24%,38.19,38.29,37.92,353500,2023-08-28
GNTX,"Gentex Corp",32.11,0.15,+0.47%,32.08,32.4,32.02,1231100,2023-08-28
GO,"Grocery Outlet Holding Corp",31.56,-0.9,-2.77%,32.41,32.49,31.43,735200,2023-08-28
GOEV,"Canoo Inc",0.644,0.1156,+21.88%,0.53,0.644,0.5297,113925102,2023-08-28
GOGL,"Golden Ocean Gp",6.9,-0.04,-0.58%,6.97,7.05,6.89,1382200,2023-08-28
GOGO,"Gogo Inc",11.14,-0.02,-0.18%,11.18,11.39,11.13,481400,2023-08-28
GOOG,"Alphabet Cl C",131.79,1.1,+0.84%,132.08,133.24,130.85,16706400,2023-08-28
GOOGL,"Alphabet Cl A",131.01,1.13,+0.87%,131.31,132.54,130.14,20526600,2023-08-28
GPCR,"Structure Therapeutics Inc",31.3,1.63,+5.51%,30.1,31.4,29.67,874400,2023-08-28
GPRE,"Green Plains Inc",31.55,0.12,+0.38%,31.5,31.9,31.33,342600,2023-08-28
GRAB,"Grab Holdings Ltd Cl A",3.69,-0.01,-0.27%,3.69,3.74,3.64,23644900,2023-08-28
GRFS,"Grifols S.A. ADR",9.96,0.02,+0.20%,9.94,10.04,9.72,234600,2023-08-28
GRNQ,"Greenpro Capital Corp",1.2,-0.05,-4.00%,1.23,1.25,1.18,19800,2023-08-28
GRRR,"Gorilla Technology Group Inc",1.57,-0.02,-1.26%,1.58,1.6,1.53,893600,2023-08-28
GSHD,"Goosehead Insurance Inc Cl A",59.58,-0.11,-0.18%,59.79,60.1,59.15,71900,2023-08-28
GT,"Goodyear Tire Rubber",12.9,0.11,+0.86%,12.92,13.15,12.86,1767800,2023-08-28
GTLB,"Gitlab Inc Cl A",45.07,-0.12,-0.27%,45.28,45.72,44.58,580700,2023-08-28
HAIN,"Hain Celestial Group",11.1,-0.76,-6.41%,11.79,12,11,1197200,2023-08-28
HALO,"Halozyme Therapeutic",42.44,-0.25,-0.59%,42.75,43.13,42.29,416600,2023-08-28
HAS,"Hasbro Inc",70.65,0.97,+1.39%,69.86,70.89,69.45,2088000,2023-08-28
HBAN,"Huntington Bcshs",11.02,0.17,+1.57%,10.94,11.09,10.89,6119300,2023-08-28
HCM,"Hutchmed China Ltd ADR",14.8,0.5,+3.50%,14.62,14.95,14.41,99800,2023-08-28
HCP,"Hashicorp Inc Cl A",28.12,-0.81,-2.80%,29,29.13,28.04,1344600,2023-08-28
HEES,"H&E Equip Services",45,0.92,+2.09%,44.23,45.41,44.23,234000,2023-08-28
HELE,"Helen of Troy Ltd",122.14,1.22,+1.01%,121.74,122.71,120.88,142400,2023-08-28
HIVE,"Hive Digital Technologies Ltd",3.44,-0.01,-0.29%,3.5,3.55,3.42,661200,2023-08-28
HLIT,"Harmonic Inc",10.27,0.2,+1.99%,10.08,10.31,10.05,1792500,2023-08-28
HLMN,"Hillman Solutions Corp",9.2,0.07,+0.77%,9.18,9.25,9.12,522500,2023-08-28
HLNE,"Hamilton Lane Inc Cl A",91.34,1.45,+1.61%,89.92,91.74,89.47,144100,2023-08-28
HLTH,"Cue Health Inc",0.4263,-0.0138,-3.14%,0.4816,0.509,0.42,427200,2023-08-28
HLVX,"Hillevax Inc",12.63,-0.21,-1.64%,13.03,13.87,12.54,56900,2023-08-28
HMST,"Homestreet Inc",9.42,0.23,+2.50%,9.26,9.46,9.19,302800,2023-08-28
HOLI,"Hollysys Automation",19.04,0.3,+1.60%,18.85,19.25,18.83,250900,2023-08-28
HOLX,"Hologic Inc",75.56,0.15,+0.20%,75.72,76.03,75.28,1109300,2023-08-28
HON,"Honeywell International Inc",187.88,1.58,+0.85%,188.44,189.63,187.12,1940700,2023-08-28
HOOD,"Robinhood Markets Inc Cl A",10.55,0.01,+0.09%,10.62,10.72,10.5,4873600,2023-08-28
HOPE,"Hope Bancorp Inc",9.61,0.18,+1.91%,9.5,9.67,9.5,403900,2023-08-28
HPK,"Highpeak Energy Inc",14.06,0.41,+3.00%,13.8,14.37,13.8,188100,2023-08-28
HQY,Healthequity,67.94,-0.21,-0.31%,67.94,69.03,67.78,422400,2023-08-28
HRMY,"Harmony Biosciences Holdings Inc",34.3,1.78,+5.47%,32.97,35.08,32.54,903200,2023-08-28
HSIC,"Henry Schein Inc",77.99,1.14,+1.48%,77.05,78.2,76.64,617100,2023-08-28
HST,"Host Marriott Financial Trust",15.83,0.39,+2.53%,15.62,15.98,15.6,11554900,2023-08-28
